City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Faanui,-16.4833,-151.75,78.44,73,22,9.31,PF,1658883939
276,Coquimbo,-29.9533,-71.3436,53.33,100,0,3.44,CL,1658883941
277,Samut Sakhon,13.5833,100.3,84.18,87,100,4.76,TH,1658883943
278,Talas,38.6908,35.5538,54.27,71,0,5.75,TR,1658883946
279,Atuona,-9.8,-139.0333,77.22,76,20,16.06,PF,1658883917
280,Loreto,22.2667,-101.9667,71.15,47,100,14.07,MX,1658883950
281,San Luis,-33.295,-66.3356,54.12,94,100,8.7,AR,1658883952
282,Talcahuano,-36.7167,-73.1167,53.28,100,75,8.05,CL,1658883955
283,Qaanaaq,77.484,-69.3632,40.69,69,58,0.94,GL,1658883957
284,City of San Pedro,14.35,121.0167,87.31,74,59,4.23,PH,1658883959
285,Pajacuarán,20.1167,-102.5667,66.52,94,100,5.23,MX,1658883962
286,Ilulissat,69.2167,-51.1,44.62,87,100,6.91,GL,1658883964
287,Evensk,61.95,159.2333,62.35,64,12,6.04,RU,1658883768
288,Vicuña,-30.0319,-70.7081,46.13,63,1,1.12,CL,1658883968
289,Buin,-33.7333,-70.75,55.74,83,27,2.71,CL,1658883971
290,Sibolga,1.7427,98.7792,78.15,85,99,2.17,ID,1658883973
291,Mar del Plata,-38.0023,-57.5575,54.09,98,100,3.0,AR,1658883847
292,At-Bashi,41.1702,75.8106,66.11,41,4,0.51,KG,1658883978
293,Rawson,-43.3002,-65.1023,45.14,95,100,10.85,AR,1658883980
294,Verkhnevilyuysk,63.4453,120.3167,80.94,59,6,8.46,RU,1658883839
295,Oktyabr'skoye,43.0645,44.7417,62.35,88,100,6.71,RU,1658883985
296,Bandundu Province,-3.3167,17.3667,75.81,65,87,4.54,CD,1658883987
297,Cedar City,37.6775,-113.0619,70.77,73,100,12.66,US,1658883845
298,Belmonte,-15.8631,-38.8828,70.83,77,1,8.55,BR,1658883992
299,Djibouti,11.5,42.5,79.77,57,100,5.37,DJ,1658883994
300,Bani Walid,31.7566,13.9942,72.9,52,0,3.27,LY,1658883996
301,Wexford,52.3342,-6.4575,56.21,80,100,3.51,IE,1658883882
302,Nordborg,55.0573,9.7408,57.09,67,75,8.05,DK,1658884001
303,Laurel,39.0993,-76.8483,76.48,89,100,0.0,US,1658884003
304,Rio Grande,-32.035,-52.0986,59.95,97,36,8.7,BR,1658883834
305,Inuvik,68.3499,-133.7218,67.14,31,61,22.26,CA,1658884007
306,Cairns,-16.9167,145.7667,80.11,68,40,13.8,AU,1658883929
307,Dunda,-8.1167,34.25,57.15,83,5,3.0,TZ,1658884012
308,Arua,3.0201,30.9111,62.1,92,100,5.46,UG,1658884014
309,Tiarei,-17.5333,-149.3333,82.42,81,90,11.79,PF,1658884016
310,Turukhansk,65.8167,87.9833,62.64,66,0,1.97,RU,1658884019
311,Norman Wells,65.282,-126.8329,56.98,91,100,13.62,CA,1658884021
312,Tura,25.5198,90.2201,75.58,86,29,2.86,IN,1658884023
313,Oddur,4.1213,43.8894,67.95,81,28,18.23,SO,1658884026
314,Tutóia,-2.7619,-42.2744,77.29,82,100,8.12,BR,1658884028
315,Mbandaka,0.0487,18.2603,68.83,98,92,3.2,CD,1658884030
316,Padang,-0.9492,100.3543,79.16,80,100,2.1,ID,1658884033
317,Port-Gentil,-0.7193,8.7815,73.99,83,97,13.87,GA,1658884035
318,Noyabrsk,63.1994,75.4507,55.53,76,100,13.82,RU,1658884037
319,Nantucket,41.2835,-70.0995,73.51,86,0,8.05,US,1658884040
320,Iralaya,15.0,-83.2333,79.14,83,96,9.13,HN,1658883992
321,Banyo,6.75,11.8167,64.56,97,100,2.28,CM,1658884044
322,São Filipe,14.8961,-24.4956,77.2,85,65,2.84,CV,1658884047
323,San Patricio,28.017,-97.5169,88.84,57,100,14.72,US,1658884049
324,Bagulā,23.3167,88.65,80.44,84,86,4.36,IN,1658884051
325,Hay River,60.8156,-115.7999,67.62,49,28,7.16,CA,1658883808
326,Muttupet,10.4,79.4833,78.8,80,16,5.41,IN,1658884056
327,Salaga,8.5508,-0.5188,70.9,97,48,4.54,GH,1658884058
328,Bucerías,20.75,-105.3333,85.98,74,75,9.22,MX,1658883974
329,Bay Roberts,47.5999,-53.2648,69.51,95,100,5.01,CA,1658884063
330,Vestmannaeyjar,63.4427,-20.2734,53.47,99,100,14.05,IS,1658884065
331,Tocopilla,-22.092,-70.1979,61.5,76,74,9.84,CL,1658884067
332,Nayoro,44.3506,142.4578,78.94,62,98,3.33,JP,1658884070
333,Albanel,48.8832,-72.4487,57.06,84,97,9.48,CA,1658884072
334,Jatai,-17.8814,-51.7144,67.78,36,0,5.84,BR,1658884074
335,Kavaratti,10.5669,72.642,81.45,77,100,16.11,IN,1658884077
336,Fairbanks,64.8378,-147.7164,57.09,68,100,5.99,US,1658883804
337,Waipawa,-41.4122,175.5153,49.51,90,100,6.04,NZ,1658884081
338,Tigil',57.8,158.6667,67.71,47,63,13.11,RU,1658884083
339,Hamilton,39.1834,-84.5333,76.05,86,100,3.44,US,1658883934
340,Laas,46.6166,10.7002,61.7,90,100,2.08,IT,1658884088
341,Aginskoye,51.1,114.53,60.3,93,100,1.79,RU,1658884090
342,Manavālakurichi,8.1333,77.3,76.73,87,91,11.45,IN,1658884092
343,Maniitsoq,65.4167,-52.9,40.37,92,70,8.86,GL,1658884095
344,Akaltara,22.0167,82.4333,78.15,88,100,1.95,IN,1658884097
345,Bondo,3.8146,23.6866,69.51,97,100,1.36,CD,1658884099
346,Bereket,39.2446,55.5154,84.27,27,100,9.26,TM,1658884102
347,Kaoma,-14.7833,24.8,49.19,62,2,5.82,ZM,1658884104
348,Ahipara,-35.1667,173.1667,60.22,72,82,10.96,NZ,1658884005
349,Kaka,37.3482,59.6143,82.85,42,1,4.54,TM,1658884109
350,Paraná,-31.732,-60.5238,76.51,66,1,10.71,AR,1658884111
351,Arraial do Cabo,-22.9661,-42.0278,70.59,86,0,16.78,BR,1658884113
352,Rantepao,-2.9701,119.8978,75.22,80,89,2.42,ID,1658884116
353,Maceió,-9.6658,-35.7353,74.64,88,75,4.61,BR,1658883849
